Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Bladder Infection,Painful urination,Frequent urination,Lower abdominal pressure,Pelvic discomfort,Urgent urination,Blood in urine,Cloudy urine,Foul-smelling urine,Mild fever,Back pain
Kidney Infection,Fever,Chills,Back pain,Groin pain,Nausea,Vomiting,Frequent urination,Painful urination,Cloudy urine,Blood in urine
Psoriasis,Red patches,Silvery scales,Dry skin,Cracked skin,Itching,Burning sensation,Thickened skin,Pitted nails,Joint pain,Stiff joints
Eczema,Itchy skin,Red rash,Dry skin,Cracked skin,Thickened skin,Small bumps,Oozing,Crusting,Sensitive skin,Inflamed skin
Shingles,Pain,Burning sensation,Tingling,Numbness,Red rash,Fluid-filled blisters,Itching,Fever,Headache,Sensitivity to touch
Fibromyalgia,Widespread pain,Fatigue,Sleep problems,Morning stiffness,Headaches,Memory problems,Concentration difficulty,Tender points,Numbness,Tingling
Tendinitis,Pain at tendon,Tenderness,Mild swelling,Pain worsens with movement,Stiffness,Weakness,Grating sensation,Warmth,Redness,Difficulty moving joint
Bursitis,Joint pain,Tenderness,Swelling,Warmth,Redness,Stiffness,Pain worsens with movement,Limited range of motion,Aching,Sharp pain with pressure
Mononucleosis,Extreme fatigue,Sore throat,Fever,Swollen lymph nodes,Swollen tonsils,Headache,Skin rash,Loss of appetite,Muscle aches,Enlarged spleen
Chickenpox,Itchy rash,Red spots,Fluid-filled blisters,Fever,Fatigue,Loss of appetite,Headache,Spots on body,Spots on face,Spots on scalp
Mumps,Swollen salivary glands,Jaw pain,Difficulty chewing,Difficulty swallowing,Fever,Headache,Muscle aches,Fatigue,Loss of appetite,Earache
Sickle Cell Disease,Pain episodes,Swelling in hands,Swelling in feet,Frequent infections,Delayed growth,Vision problems,Fatigue,Jaundice,Shortness of breath,Dizziness
Hemophilia,Easy bruising,Large bruises,Bleeding into joints,Joint pain,Joint swelling,Blood in urine,Blood in stool,Nosebleeds,Prolonged bleeding,Unexplained bleeding
Thrombocytopenia,Easy bruising,Petechiae,Prolonged bleeding,Blood in urine,Blood in stool,Heavy menstrual bleeding,Nosebleeds,Bleeding gums,Fatigue,Enlarged spleen
